address,area,bath,bed,city,description,garage_space,price,property_type,sqft,state,taxes_2015,taxes_2016,taxes_2017,taxes_2018,taxes_2019,year_built,zip
657 Helweh Ct,San Jose,4,3,San Jose,"Ideally located to everything Silicon Valley including historic Rose Garden & neighborhood. Fresh, contemporary, light-filled home brimming w/stylish finishes. 2257+/-sf on 3365+/- sf lot. 3 bds w/en suite bths plus large main-level bthm & office also ideal for home gym or addl bdrm. Living/dining rm, family rm w/gas frpl. Sleek kitchen w/granite counters & full bkspsh, island/brkfast bar, built-in buffet. Stainless appls, electric range, microwave, dishwasher, microwave, refrigerator. Tile entry, wood floors, recessed lights, decorative iron stair railing, high ceilings w/crown molding, walk-in closets. Fabulous extras incld Nest, Ring, Kinetico wtr softener, multiple ceiling fans/lgts, central AC, upstairs laundry. 240V car chrgr, 2-car garage. Stmpd concrete driveway. Cozy bkyd patio, artificial turf, garden bd border, quiet retreat. Inviting front porch designed for relaxation. Hop on The Alameda, Highway 880, walk to Guadalupe River Park, trails. K-12 public schls w/in a mile.",2,1398000,Single Family Home,2257,CA,12436,12515,12716,12899,13023,2007,95126
3616 Compton Ln,San Jose,3,4,San Jose,"Brand new custom home in a prime 95130 location! Great curb appeal w/ stamped concrete entry/driveway & custom entry door. Stunning open floor plan w/designer fixtures/finishes. Gourmet kitchen w/custom cabinetry, quartz countertops and s/s appliances. Sophisticated family/dining room combo w/fireplace & slider to yard. Spacious master suite w/ his and her walk-in closets. Dual sinks, large sit and stand shower in master bath. Hall bath w/ shower/tub. Private in-law quarters or double master suite with private full bath. Amenities: hardwood floors, dual pane windows, laundry room, built in surround sound and more. Backyard: Composite decking patio, lawn & variety of shrubs & fruit trees. Fully finished 2-car garage w/ custom auto door and epoxy coating on floor. Situated between Westgate & downtown Campbell w/ easy access to San Tomas, Lawrence, 85, 17/880 & 280. Close to shops, schools, restaurants, Harker, Convenient commute to Apple, Google, Netflix, & Silicon Valley tech corridor.",2,1888000,Single Family Home,2005,CA,4604,4650,4928,13664,13999,1965,95130
3155 Andora Dr,San Jose,2.5,5,San Jose,"Spacious pool home in scenic San Jose! Come take a look at this 5bed/2.5ba 1, 776sqft charmer in the desirable Evergreen neighborhood. Private bedrooms upstairs, with separate formal living, dining, and family rooms below. The kitchen and entertaining space flow out seamlessly to your own private backyard oasis. Put your own style and personal touches to make this home come alive from your creative vision. Conveniently located to schools, shopping, eateries, and all of downtown's best amenities! Come by for a visit this Friday, 9/18 between 2pm-6pm; Saturday 9/19 between 11am-4pm; and Sunday 9/20 between 10am-2pm. Please call ahead of time to schedule pre-set appointments per COVID restrictions.. Neighborhoods: Evergreen Other Fees: 0 Sewer: Sewer Connected Topography: LL",2,939000,Single Family Home,1776,CA,8816,8812,9094,9217,9476,1965,95148
14885 Rossmoyne Dr,San Jose,1.5,3,San Jose,"Come visit this gorgeous home located on a beautiful quiet street in Cambrian Park. Great schools - Oster Elementary, Dartmouth Middle, and Leigh High. The home features three spacious bedrooms, a full, and a half bathrooms. This 1600 square-foot beauty is located on a spacious lot that includes a horseshoe pit, a storage shed, the greatest orange trees, and a multitude of different fruit trees. The home is freshly painted, has two fireplaces, and a spacious family room with inside laundry. Don't miss your chance to own this gem of a home located in one of the best neighborhoods in San Jose.",2,1375000,Single Family Home,1601,CA,8452,14158,14818,15039,15363,1952,95124
3412 Maroun Pl,San Jose,2.5,4,San Jose,"Two-story single family home in charming Evergreen Area in Southeast San Jose. 4 bedrooms and 2.5 baths. Sunny and Bright Home with Stylish & Great Floor Plan Cozy Living Room with Fireplace Open Kitchen with Breakfast Bar, Nook Area. Located in a friendly and safe community. Walking distance to excellent Evergreen schools, parks, village square, and public library. Great schools: Carolyn Clark Elementary, Quimby Oak middle school, and Evergreen Valley High School. New interior paint. Huge master bedroom suite with walk-in closet. Double pane windows with central heating and air conditioning. Low maintenance backyard w/ Lemon tree. Extra loft area, separate Laundry room with storage space on 2nd floor. Spacious 2 car attached garage. Must see!",2,1329000,Single Family Home,1900,CA,11756,11916,12490,12698,12912,2000,95148
567 Churchill Park Dr,San Jose,2,4,San Jose,"Welcome to bright open spaces in this desirable Vista Park area home within walking distance to trails at Martial Cottle park and playground. Exciting features: Rich laminate floors, fresh paint, crown molding and a detached artist studio/office. A/C added in 2018. Electric car charger. A remodeled chef's kitchen with fresh cabinetry, large stainless sink and gleaming counter-tops awaits your culinary creativity. Master bath remodeled in 2016. Furnace replaced in 2013. Enjoy dual-paned windows. Backyard features a spacious patio for entertaining and grilling, plus a play yard with large children's gym. Relax in an oasis of lawn and flowers, with drip irrigation. No detail was spared in this home. Complete list of upgrades is with disclosures.",2,1099000,Single Family Home,2084,CA,9049,9113,9292,9371,9473,1973,95136
787 Sunset Glen Dr,San Jose,2,4,San Jose,"Welcome home! This 4-bedroom, 2-bath home has it all, from top to bottom. Tranquil neighborhood with tree-lined street at the base of the Santa Teresa foothills. This neighborhood celebrates holidays with block parties, outdoor decorations & lights, even a 4th of July parade! Starting with the freshly polished wood floors to the expansive social areas of the home, new interior paint & carpet, dual-paned windows & plantation shutters all around, spacious kitchen/family room with island, Thermador cooktop, KitchenAid Stainless Steel appliances, manicured landscaping, laundry room plus washer & dryer included with sale.Master bedroom with en-suite bathroom including dual sinks & shower stall.Outdoor spaceincludes a low maintenance backyard with pergola, deck, & patio. It's perfect for entertaining & hosting BBQs. Near Westfield Oakridge shopping mall, restaurants, supermarkets & schools. Great for commuters near highways 85 & 87. This is the home you've been waiting for!",2,1199000,Single Family Home,2010,CA,2149,2180,2317,2352,2400,1971,95123
350 E Mission St Unit 212,San Jose,1.5,1,San Jose,"Gorgeous top floor level unit with views. 1, 077SqFt of pure urban luxury. Elegant 1 bedroom, 1.5 bath home with beyond high ceiling. Comfortable, open floor plan. Wall of windows brings in abundance of natural light! Beautiful kitchen with open layout and amazing amount of cabinet space and oversized island with additional dining area. Opens up to spacious outdoor patio extending living room area with side entrance to the buildings gated community area. Markethouse lofts is very unique building located in quiet cul-de-sac location at Bernal park. Walking distance to Japantown's downtown featuring farmers market, local dining and entertainment including famous festivals. Close proximity to major freeways, light rail, CalTrain and airport makes this area a hidden gem with huge potential close to proposed google village.",1,749000,Condo/Townhome/Row Home/Co-Op,1077,CA,3178,3207,7722,7779,7845,2001,95112
4531 Hampshire Pl,San Jose,2.5,4,San Jose,"Fantastic Thousand Oaks Home Perfect for Your Family! This Home Features New Granite Kitchen Counters and Cabinets, New Refrigerator, New Dishwasher, New Kitchen and Entry Tile Flooring, New Roof, New Exterior Paint, New Carpet Upstairs, Hardwood Floors on the First Floor, a Large Master Bedroom Suite w/ Vaulted Ceilings, Separate Living and Family Room w/ 2 Fireplaces, Updated Baths, 2 Car Garage, Beautiful Backyard w/ Lemon and Peach Trees and a Deck For Relaxing. Walk to Thousand Oaks Park, Close to Tons of Shopping: Almaden Ranch Marketplace, Almaden Plaza, Oakridge Mall, Santa Teresa Main St Center & More, Easy Access to Almaden Expy, HWY 85, HWY 87, & Light Rail",2,1095000,Single Family Home,1860,CA,5820,5867,6025,6082,6156,1973,95136
2205 Vizcaya Cir,San Jose,3,3,Campbell,"This beautiful turn-key townhome feels like a single family home in a private community. This unique 2, 451 sf end-unit offers a fourth room with full bathroom on the first floor ideal for overnight guests or as an office. The dramatic entry with vaulted ceilings opens into a spacious living room and formal dining room with a wet bar. A spiral staircase leads to a master suite with fireplace, walk-in closet and large bathroom w/ jetted tub and shower. Two additional bedrooms with a full bath and laundry room are also found upstairs. The gourmet kitchen complete with stainless steel appliances including a 5-burner gas cooktop, built-in oven, and microwave with granite counters and hardwood floors joins the family room that overlooks the low maintenance backyard complete with a tranquil fountain. Vizcaya is a truly unique neighborhood and ideally located within walking distance to dining, shopping, downtown Campbell, and the Pruneyard with easy access to CA-85, HWY-17 and HWY-280.",2,1406888,Condo/Townhome/Row Home/Co-Op,2421,CA,12344,12808,13916,14376,14780,1990,95008
372 Ribbonwood Ave,San Jose,2,2,San Jose,"This former model has been restored to that original beautiful image. Brand new carpet, paint and more. New washer, dryer, dishwasher. Gas stove. Refinished tub, some new fixtures and more. Just 5 minutes to Starbucks, shopping, restaurants, VTA Cottle station & more. Enjoy the A/C, pool, attached garage parking. Also just 1 block away: tennis, basketball & park/playground. You'll love the cozy gas fireplace...just flip a switch and it's on. Kitchen offers plenty of cabinet space and counter space. Large balcony off dining area.",1,660000,Condo/Townhome/Row Home/Co-Op,981,CA,5087,5201,5465,5542,5590,1999,95123
1772 Braddock Ct,San Jose,2,2,San Jose,"Tastefully updated, this condominium is located steps away from eBay campus, Pruneyard Shopping, Downtown Campbell, Los Gatos Creek Trail, Whole Foods, coffee shops/restaurants, Movie Theater and major freeways. Natural light fills the freshly painted interiors, central AC/Heating, high ceiling with skylights, private patio, inside laundry and remodeled kitchen has granite counters, stainless steel appliances and a pass-through opening to living area. 2 spacious bedrooms and both bathrooms are updated. 1-car garage plus 1-car covered assigned carport #32 close to unit. HOA includes water & garbage and with the permission of the HOA, the carpet floor can be replaced with a wood floor and there is no rental restriction so very good opportunity for investing. HOA amenities include a swimming pool and club house. With updated features, an excellent location, this is the perfect place to call home in Silicon Valley!",1,769000,Condo/Townhome/Row Home/Co-Op,1020,CA,6278,6368,6752,6834,7020,1981,95125
